,lat,long,cluster_coordinates
920242,34.045558,-118.261536,0
920983,34.037846,-118.250794,0
922233,34.052672,-118.247228,0
922774,34.065975,-118.237834,0
924099,34.062875,-118.447137,1
925554,34.059576,-118.237926,0
926584,34.048278,-118.256614,0
927296,34.060614,-118.446668,1
928477,34.060128,-118.250581,0
930938,34.062996,-118.446944,1
932449,34.041115,-118.253397,0
933736,34.050321,-118.261123,0
934491,34.060567,-118.446629,1
935671,34.042464,-118.25778,0
936372,34.045209,-118.264413,0
938566,34.057692,-118.254677,0
940150,34.045358,-118.261722,0
942038,34.045334,-118.251429,0
943056,34.045013,-118.245596,0
944407,34.064921,-118.237133,0
945502,34.062376,-118.447467,1
947749,34.061092,-118.237384,0
948571,34.041037,-118.262357,0
949026,34.049818,-118.250684,0
950695,34.062308,-118.447578,1
953188,34.06378,-118.443645,1
953805,34.043492,-118.23824,0
954529,34.098113,-118.32448,2
955030,34.045011,-118.258846,0
956543,34.0469,-118.253652,0
957837,34.063384,-118.445489,1
959864,34.0512,-118.248499,0
961870,34.090666,-118.324789,2
962641,34.042565,-118.261149,0
963528,34.06308,-118.447143,1
964558,34.099756,-118.323243,2
965305,34.044463,-118.250659,0
966371,34.038572,-118.258419,0
967195,34.04651,-118.239627,0
969020,34.040555,-118.259329,0
970235,34.045798,-118.244974,0
971064,34.045374,-118.265192,0
972389,34.033353,-118.250131,0
973740,34.045394,-118.251374,0
974839,34.053882,-118.241267,0
976780,34.037039,-118.260907,0
981779,34.03701,-118.260855,0
984566,34.040012,-118.265019,0
985936,34.062997,-118.442689,1
986945,34.043254,-118.25704,0
989627,34.040384,-118.264672,0
989987,34.061951,-118.445239,1
991248,34.057652,-118.254614,0
991965,34.060227,-118.443337,1
993018,34.065657,-118.236747,0
994397,34.04532,-118.246786,0
995351,34.045494,-118.260124,0
996818,34.039951,-118.247703,0
997741,34.040251,-118.25319,0
999405,34.062346,-118.447516,1
1001266,34.066272,-118.236065,0
1002277,34.04252,-118.261189,0
1002906,34.090825,-118.325841,2
1004549,34.047077,-118.24981,0
1005196,34.04535,-118.24475,0
1005696,34.042554,-118.251496,0
1007665,34.061228,-118.447496,1
1009523,34.046427,-118.246667,0
1010559,34.038626,-118.26369,0
1011814,34.03879,-118.248636,0
1012755,34.061289,-118.447548,1
1014102,34.040812,-118.252461,0
1014907,34.046593,-118.260575,0
1017018,34.062635,-118.445005,1
1018495,34.064234,-118.23791,0
1020061,34.047035,-118.249848,0
1020573,34.048919,-118.25152,0
1022071,34.05795,-118.251644,0
1023690,34.037298,-118.257936,0
1024943,34.050733,-118.249832,0
1026906,34.054054,-118.255656,0
1027976,34.04062,-118.263929,0
1028399,34.047468,-118.258055,0
1030982,34.060002,-118.442874,1
1032220,34.06036,-118.446089,1
1033605,34.047263,-118.244489,0
1034280,34.062296,-118.447258,1
1037589,34.041129,-118.2625,0
1038529,34.042976,-118.252658,0
1039663,34.044165,-118.255176,0
1041325,34.0434,-118.263551,0
1042285,34.040337,-118.259533,0
1043740,34.040319,-118.251662,0
1044657,34.101747,-118.323414,2
1045858,34.048305,-118.254064,0
1047099,34.040277,-118.260102,0
1047515,34.044646,-118.262386,0
1048501,34.040318,-118.260166,0
1049166,34.062668,-118.446341,1
1051419,34.044109,-118.255096,0
1053154,34.046318,-118.253947,0
1055077,34.060561,-118.446924,1
1056196,34.047459,-118.246041,0
1057304,34.045174,-118.261894,0
1057738,34.038666,-118.26306,0
1058457,34.046685,-118.240796,0
1059292,34.038591,-118.263638,0
1060281,34.046905,-118.262001,0
1061186,34.095325,-118.326193,2
1061545,34.045398,-118.260213,0
1062984,34.047723,-118.259542,0
1063804,34.059458,-118.249628,0
1064446,34.040663,-118.248233,0
1066477,34.063291,-118.448703,1
1067228,34.032182,-118.250309,0
1068981,34.062885,-118.445213,1
1070922,34.060728,-118.238229,0
1071621,34.039769,-118.262614,0
1072106,34.057533,-118.254435,0
1072530,34.04377,-118.250007,0
